scorer,metric,runId,numerator,denominator,value,mean,min,max
document-classification,classificationAccuracy,example-run-1,7,7,1,0.9047619047619048,0.8571428571428571,1
document-classification,classificationAccuracy,example-run-2,6,7,0.8571428571428571,0.9047619047619048,0.8571428571428571,1
document-classification,classificationAccuracy,example-run-3,6,7,0.8571428571428571,0.9047619047619048,0.8571428571428571,1
document-classification,processingSuccessRate,example-run-1,7,7,1,0.9523809523809524,0.8571428571428571,1
document-classification,processingSuccessRate,example-run-2,7,7,1,0.9523809523809524,0.8571428571428571,1
document-classification,processingSuccessRate,example-run-3,6,7,0.8571428571428571,0.9523809523809524,0.8571428571428571,1
field-extraction,strictFieldAccuracy,example-run-1,5,19,0.2631578947368421,0.24561403508771928,0.21052631578947367,0.2631578947368421
field-extraction,strictFieldAccuracy,example-run-2,5,19,0.2631578947368421,0.24561403508771928,0.21052631578947367,0.2631578947368421
field-extraction,strictFieldAccuracy,example-run-3,4,19,0.21052631578947367,0.24561403508771928,0.21052631578947367,0.2631578947368421
field-extraction,normalizedFieldAccuracy,example-run-1,18,19,0.9473684210526315,0.912280701754386,0.8947368421052632,0.9473684210526315
field-extraction,normalizedFieldAccuracy,example-run-2,17,19,0.8947368421052632,0.912280701754386,0.8947368421052632,0.9473684210526315
field-extraction,normalizedFieldAccuracy,example-run-3,17,19,0.8947368421052632,0.912280701754386,0.8947368421052632,0.9473684210526315
field-extraction,missingRate,example-run-1,0,19,0,0.017543859649122806,0,0.05263157894736842
field-extraction,missingRate,example-run-2,0,19,0,0.017543859649122806,0,0.05263157894736842
field-extraction,missingRate,example-run-3,1,19,0.05263157894736842,0.017543859649122806,0,0.05263157894736842
field-extraction,wrongExtractionRate,example-run-1,1,19,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.10526315789473684
field-extraction,wrongExtractionRate,example-run-2,2,19,0.10526315789473684,0.07017543859649122,0.05263157894736842,0.10526315789473684
field-extraction,wrongExtractionRate,example-run-3,1,19,0.05263157894736842,0.07017543859649122,0.05263157894736842,0.10526315789473684
comparison,precision,example-run-1,3,4,0.75,0.9166666666666666,0.75,1
comparison,precision,example-run-2,2,2,1,0.9166666666666666,0.75,1
comparison,precision,example-run-3,3,3,1,0.9166666666666666,0.75,1
comparison,recall,example-run-1,3,3,1,0.8888888888888888,0.6666666666666666,1
comparison,recall,example-run-2,2,3,0.6666666666666666,0.8888888888888888,0.6666666666666666,1
comparison,recall,example-run-3,3,3,1,0.8888888888888888,0.6666666666666666,1
comparison,f1,example-run-1,,,0.8571428571428571,0.8857142857142857,0.8,1
comparison,f1,example-run-2,,,0.8,0.8857142857142857,0.8,1
comparison,f1,example-run-3,,,1,0.8857142857142857,0.8,1
hsk,top1,example-run-1,2,3,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.6666666666666666
hsk,top1,example-run-2,1,3,0.3333333333333333,0.5555555555555555,0.3333333333333333,0.6666666666666666
hsk,top1,example-run-3,2,3,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.6666666666666666
hsk,top3,example-run-1,3,3,1,1,1,1
hsk,top3,example-run-2,3,3,1,1,1,1
hsk,top3,example-run-3,3,3,1,1,1,1
